location_name,lat,lon
Bari Centrale,41.1178474,16.8697567
Barletta,41.3150482,16.2787895
Benevento,41.1418495,14.7699404
Bisceglie,41.235569,16.4992409
Bologna centrale,44.5059052,11.3433666
Bolzano,46.4964256,11.3588104
Brescia,45.5321617,10.2128696
Caserta,41.0688515,14.3270874
Conegliano,45.8845596,12.2987499
Desenzano,45.4626312,10.5363703
Ferrara,44.8428154,11.6038637
Firenze Santa Maria Novella,43.7849312,11.24403
Foggia,41.4659195,15.5559101
Genova Brignole,44.4069405,8.94721985
Genova Piazza Principe,44.4174995,8.92107391
Latisana-Lignano,45.7773514,13.0011301
Mediopadana R.Emilia,44.7244492,10.6527796
Milano Centrale,45.487011,9.20547962
Milano Expo Rho,45.52108,9.08840275
Milano Rogoredo,45.52108,9.08840275
Molfetta,41.1959305,16.5967808
Monfalcone,45.8075905,13.5429621
Napoli,40.8529167,14.2729483
Napoli Afragola,40.9317589,14.3313503
Padova,45.4177589,11.8805075
Peschiera,45.4384995,10.7025099
Pordenone,45.9563904,12.6538897
Portogruaro,45.7812233,12.8322411
Roma Termini,41.9011269,12.5018454
Roma Tiburtina,41.9111748,12.5320101
Rovereto,45.8909607,11.0336008
Rovigo,45.0768204,11.7809496
S.Donà-Jesolo,45.6397552,12.5595999
Salerno,40.6755219,14.7723999
Torino Porta di Susa,45.0715408,7.66585016
Torino Porta Nuova,45.0609131,7.67749977
Trani,41.2728004,16.4176998
Trento,46.0722198,11.1188898
Treviso C.le,45.6596603,12.2451897
Trieste Airport,45.8175011,13.4861097
Trieste C.le,45.6584015,13.7714195
Udine,46.0556908,13.2418699
Venezia Mestre,45.4824524,12.2317038
Venezia Santa Lucia,45.4410706,12.3210316
Verona Porta Nuova,45.4290199,10.9824781
Vicenza,45.5410995,11.5407772
Agropoli Castellabate,40.3515701,15.0019531
Lamezia Terme C,38.9667206,16.3199902
Maratea,39.9948883,15.7096701
Paola,39.3594513,16.0329208
Reggio Calabria,38.1038132,15.6359253
Rosarno,38.4884605,15.9700603
Sapri,40.0778694,15.6270304
Vallo d.Lucania,40.2293892,15.1581097
Vibo-Pizzo,38.7264404,16.1505604
Villa S.Giovanni,38.2165718,15.6342001
